heading,speed,lat,lon,alt
279.7555627,0.1309284767,-117.3204954,34.1971461,639.77
174.0704047,0.0892181541,-117.3204968,34.1971463,639.77
276.8626526,0.0928331081,-117.3204967,34.1971455,639.77
198.3846664,0.05844606035,-117.3204977,34.1971456,639.76
278.8105354,0.06528798169,-117.3204979,34.1971451,639.76
317.3338531,0.01359961089,-117.3204986,34.1971451,639.76
301.0378393,0.04302759089,-117.3204987,34.1971451,639.76
47.92933632,0.04966490123,-117.3204991,34.1971453,639.76
51.25830974,0.07090071173,-117.3204987,34.1971456,639.77
121.0378393,0.04302758937,-117.3204981,34.197146,639.79
193.354737,0.07980626917,-117.3204977,34.1971458,639.78
28.98342169,0.03804220765,-117.3204979,34.1971451,639.75
206.4979878,0.06197329227,-117.3204977,34.1971454,639.73
58.96216071,0.02151379545,-117.320498,34.1971449,639.73
202.5603519,0.02402358272,-117.3204978,34.197145,639.72
54.16650567,0.1136863594,-117.3204979,34.1971448,639.7
126.9504773,0.0922654108,-117.3204969,34.1971454,639.73
219.7230657,0.1009542654,-117.3204961,34.1971449,639.77
241.1812706,0.3681884522,-117.3204968,34.1971442,639.79
300.2646166,0.3521499917,-117.3205003,34.1971426,639.78
343.6558287,0.1965156678,-117.3205036,34.1971442,639.77
232.5523574,0.1277032517,-117.3205042,34.1971459,639.77
8.933594508,0.4154662276,-117.3205053,34.1971452,639.78
3.684360014,0.1556180314,-117.3205046,34.1971489,639.79
58.96216071,0.1075689772,-117.3205046,34.1971503,639.79
15.48089154,0.1035917578,-117.3205036,34.1971508,639.79
300.4720187,0.4812241629,-117.3205033,34.1971517,639.79
268.0852521,0.3319901671,-117.3205078,34.1971539,639.79
266.1747714,0.1662728236,-117.3205114,34.1971538,639.79
65.16095083,0.132032546,-117.3205132,34.1971537,639.77
313.9146986,0.127944792,-117.3205119,34.1971542,639.75
88.74644373,0.5070453506,-117.3205129,34.197155,639.75
34.98056416,0.2572286359,-117.3205074,34.1971551,639.75
299.8172206,0.2230857763,-117.3205058,34.197157,639.77
70.74012923,0.3026600127,-117.3205079,34.197158,639.79
261.9410295,0.1582484132,-117.3205048,34.1971589,639.77
64.29347097,0.05114604697,-117.3205065,34.1971587,639.79
52.09039548,0.198592336,-117.320506,34.1971589,639.8
64.29347017,0.1022920946,-117.3205043,34.19716,639.79
66.36372095,0.1106689201,-117.3205033,34.1971604,639.78
39.72306775,0.01442203848,-117.3205022,34.1971608,639.79
232.2711946,0.1631465314,-117.3205021,34.1971609,639.78
234.1665056,0.05684317894,-117.3205035,34.19716,639.77
229.3157714,0.08508034483,-117.320504,34.1971597,639.77
242.7155813,0.07259430226,-117.3205047,34.1971592,639.77
152.5566888,0.09999332245,-117.3205054,34.1971589,639.76
231.2583086,0.0354503556,-117.3205049,34.1971581,639.81
275.6330981,0.1018767774,-117.3205052,34.1971579,639.84
227.9293355,0.09932980201,-117.3205063,34.1971579,639.83
290.8097368,0.1873402843,-117.3205071,34.1971573,639.82
237.0547833,0.1427784712,-117.320509,34.1971579,639.82
333.5020111,0.06197329286,-117.3205103,34.1971572,639.81
251.0238144,0.1364507784,-117.3205106,34.1971577,639.83
246.3637212,0.1106689213,-117.320512,34.1971573,639.84
215.1097521,0.1762770936,-117.3205131,34.1971569,639.86
208.9834205,0.07608441536,-117.3205142,34.1971556,639.84
188.3417653,0.1905905922,-117.3205146,34.197155,639.85
194.1915223,0.2631610444,-117.3205149,34.1971533,639.85
205.6896582,0.2338768961,-117.3205156,34.197151,639.85
199.6007333,0.2472733065,-117.3205167,34.1971491,639.85
42.66614692,0.01359961089,-117.3205176,34.197147,639.85
199.977072,0.1888444843,-117.3205175,34.197147,639.85
320.2769343,0.1009542654,-117.3205182,34.1971454,639.85
295.7065294,0.1534381428,-117.3205189,34.1971461,639.84
342.6936919,0.09294877208,-117.3205204,34.1971467,639.84
295.7065294,0.1022920943,-117.3205207,34.1971475,639.84
325.3007462,0.08095296743,-117.3205217,34.1971479,639.84
286.7454859,0.1924991043,-117.3205222,34.1971485,639.83
287.6707726,0.3288893694,-117.3205242,34.197149,639.79
293.3659233,0.3915673792,-117.3205276,34.1971499,639.71
243.3677676,0.2474579424,-117.3205315,34.1971513,639.65
208.4527711,0.2901806854,-117.3205339,34.1971503,639.6
136.4809778,0.321238295,-117.3205354,34.197148,639.58
114.2906025,0.6471685393,-117.320533,34.1971459,639.57
115.4728125,0.4900438219,-117.3205266,34.1971435,639.56
102.911501,0.1985734585,-117.3205218,34.1971416,639.55
92.75613588,0.2306868494,-117.3205197,34.1971412,639.55
84.71072318,0.2406615447,-117.3205172,34.1971411,639.55
320.2769343,0.07211018929,-117.3205146,34.1971413,639.54
226.6009196,0.1775911642,-117.3205151,34.1971418,639.55
295.3053132,0.2854625549,-117.3205165,34.1971407,639.55
129.6931331,0.3473625726,-117.3205193,34.1971418,639.57
309.6618325,0.5387666743,-117.3205164,34.1971398,639.61
316.0548721,0.3851571835,-117.3205209,34.1971429,639.33
351.7774653,0.2577797617,-117.3205238,34.1971454,638.98
311.6549484,0.2837225103,-117.3205242,34.1971477,638.62
278.8105352,0.06528798299,-117.3205265,34.1971494,638.24
124.7737269,0.2917380596,-117.3205272,34.1971494,637.87
224.9160978,0.07832191842,-117.3205246,34.1971479,637.5
143.3716507,0.2626212146,-117.3205252,34.1971474,637.72
305.8334946,0.1705295388,-117.3205235,34.1971455,637.85
35.45834843,0.09532796827,-117.320525,34.1971464,637.92
251.5146507,0.1749278448,-117.3205244,34.1971471,637.95
33.61266295,0.06659830945,-117.3205262,34.1971466,637.81
281.3422464,0.0564023433,-117.3205258,34.1971471,637.79
17.30630902,0.09294877171,-117.3205264,34.1971472,637.73
