sec,mb
7.148,93671.85
7.168,93670.14
7.188,93669.91
7.208,93670.28
7.228,93668.42
7.248,93672.82
7.268,93671.14
7.288,93670.65
7.308,93671.37
7.328,93670.47
7.348,93671.08
7.368,93671.78
7.388,93671.37
7.408,93672.63
7.428,93672.26
7.448,93672.01
7.468,93674.9
7.488,93674.53
7.508,93674.28
7.528,93673.08
7.548,93674.3
7.568,93675.34
7.588,93672.13
7.608,93673.43
7.628,93674
7.648,93675.17
7.668,93674.72
7.688,93672.89
7.708,93676.59
7.728,93676.18
7.748,93675.77
7.768,93674.16
7.788,93674.32
7.808,93673.66
7.828,93676.61
7.848,93676.52
7.868,93677.74
7.888,93674.52
7.908,93678.1
7.928,93675.52
7.948,93678.6
7.968,93675.86
7.988,93679.29
8.008,93679.86
8.028,93678.17
8.048,93679.86
8.068,93679.55
8.088,93678.48
8.108,93681.47
8.128,93678.4
8.148,93679.79
8.168,93679.46
8.188,93681.16
8.208,93678.93
8.228,93678.73
8.248,93679.06
8.268,93682.19
8.288,93679.25
8.308,93681.89
8.328,93679.83
8.348,93681.13
8.368,93680.64
8.388,93682.62
8.408,93679.73
8.428,93681.58
8.448,93681.43
8.468,93682.45
8.488,93678.13
8.508,93680.41
8.528,93679.19
8.548,93682.85
8.568,93680.44
8.588,93681.52
8.608,93682.74
8.628,93681.66
8.648,93682.9
8.668,93682.26
8.688,93681.45
8.708,93682.28
8.728,93680.37
8.748,93680.22
8.768,93681.82
8.788,93681
8.808,93682.06
8.828,93680.38
8.848,93681.87
8.868,93683.23
8.888,93682.67
8.908,93679.91
8.928,93681.8
8.948,93683.48
8.968,93682.04
8.988,93679.91
9.008,93681.71
9.028,93680.04
9.048,93681.84
9.068,93681.91
9.088,93681.67
9.108,93679.53
9.128,93681.16
9.148,93681.56
9.168,93681.96
9.188,93680.91
9.208,93679.05
9.228,93682.16
9.248,93679.43
9.268,93682.42
9.288,93681.48
9.308,93680.76
9.328,93683.05
9.348,93679.52
9.368,93683.66
9.388,93681.7
9.408,93679.97
9.428,93678.97
9.448,93680.52
9.468,93680.23
9.488,93681.63
9.508,93681.24
9.528,93680.78
9.548,93682.02
9.568,93679.6
9.588,93682.36
9.608,93681.46
9.628,93681.02
9.648,93680.78
9.668,93682.82
9.688,93681.71
9.708,93680
9.728,93681.76
9.748,93681.95
9.768,93682.92
9.788,93682.36
9.808,93681.41
9.828,93683
9.848,93678.6
9.868,93682.21
9.888,93681.04
9.908,93681.42
9.928,93679.13
9.948,93682.19
9.968,93680.74
9.988,93681.47
10.008,93682.17
10.028,93681.54
10.048,93681.54
10.068,93682
10.088,93683.25
10.108,93681.06
10.128,93681.99
10.148,93681.94
10.168,93682.01
10.188,93680.41
10.208,93681.31
10.228,93680.39
10.248,93681.11
10.268,93680.07
10.288,93681.46
10.308,93681.13
10.328,93681.28
10.348,93682.73
10.368,93681.54
10.388,93683.3
10.408,93681.49
10.428,93680.49
10.448,93683.06
10.468,93682.08
10.488,93680.98
10.508,93682.54
10.528,93683.02
10.548,93682.01
10.568,93682.66
10.588,93682.55
10.608,93681.36
10.628,93683.38
10.648,93680.29
10.668,93680.45
10.688,93680.56
10.708,93682.39
10.728,93682.69
10.748,93679.76
10.768,93679.18
10.788,93681.8
10.808,93681.43
10.828,93680.58
10.848,93681.07
10.868,93681.94
10.888,93679.77
10.908,93681.52
10.928,93680.85
10.948,93681.58
10.968,93679.02
10.988,93682.25
11.008,93680.66
11.028,93681.84
11.048,93678.4
11.068,93680.61
11.088,93682.16
11.108,93681.9
11.128,93680.84
11.148,93681.83
11.168,93681.56
11.188,93681.74
11.208,93683.2
11.228,93682.87
11.248,93680.45
11.268,93683.03
11.288,93680.11
11.308,93682.77
11.328,93682.49
11.348,93679.88
11.368,93681
11.388,93681.2
11.408,93680.59
11.428,93679.75
11.448,93682.46
11.468,93682
11.488,93681.13
11.508,93681.02
11.528,93682.73
11.548,93681.64
11.568,93679.22
11.588,93678.85
11.608,93680.76
11.628,93680.07
11.648,93683.11
11.668,93679.12
11.688,93681.02
11.708,93683.1
11.728,93680.85
11.748,93681.76
11.768,93681.51
11.788,93679.72
11.808,93681.51
11.828,93682.16
11.848,93681.28
11.868,93681.99
11.888,93682
11.908,93681.69
11.928,93681.96
11.948,93682.36
11.968,93682.87
11.988,93681.1
12.008,93681.26
12.028,93682.67
12.048,93679.51
12.068,93681.06
12.088,93682.72
12.108,93680.97
12.128,93681.64
12.148,93683.24
12.168,93681.96
12.188,93682.79
12.208,93682.1
12.228,93682.35
12.248,93680.26
12.268,93683.41
12.288,93681.88
12.308,93679.39
12.328,93682.11
12.348,93683.47
12.368,93682.63
12.388,93681.5
12.408,93681.6
12.428,93679.23
12.448,93682.3
12.468,93682.68
12.488,93682.52
12.508,93679.44
12.528,93681.05
12.548,93681.86
12.568,93681.49
12.588,93683.27
12.608,93680.64
12.628,93682.55
12.648,93682.45
12.668,93681.55
12.688,93682.01
12.708,93681.27
12.728,93679.43
12.748,93680.48
12.768,93681.75
12.788,93679.77
12.808,93683.86
12.828,93680.67
12.848,93682.99
12.868,93681.99
12.888,93681.96
12.908,93681.19
12.928,93682.92
12.948,93681.19
12.968,93681.27
12.988,93681.01
13.008,93680.6
13.028,93682.31
13.048,93680.58
13.068,93682.41
13.088,93682.62
13.108,93681.04
13.128,93683.47
13.148,93680.19
13.168,93683.95
13.188,93680.42
13.208,93681.04
13.228,93681.27
13.248,93681.01
13.268,93681.28
13.288,93683.69
13.308,93680.42
13.328,93682.02
13.348,93683.12
13.368,93682.21
13.388,93683.44
13.408,93683.78
13.428,93681.2
13.448,93680.62
13.468,93680.72
13.488,93683.05
13.508,93680.12
13.528,93681.42
13.548,93680.97
13.568,93680.25
13.588,93677.94
13.608,93677.21
13.628,93677.56
13.648,93677.36
13.668,93679.44
13.688,93678.3
13.708,93676.34
13.728,93678.2
13.748,93676.19
13.768,93674.67
13.788,93673.71
13.808,93674.95
13.828,93677.72
13.848,93674.31
13.868,93672.34
13.888,93673.3
13.908,93675
13.928,93673.47
13.948,93672.8
13.968,93672.72
13.988,93675.18
14.008,93674.09
14.028,93666.94
14.048,93672.01
14.068,93670.92
14.088,93672.19
14.108,93672.03
14.128,93672.77
14.148,93671.53
14.168,93671.37
14.188,93670.94
14.208,93672.41
14.228,93669.78
14.248,93669.29
14.268,93672.12
14.288,93671.59
14.308,93669.07
14.328,93670.28
14.348,93670.41
14.368,93674.1
14.388,93668.06
14.408,93672.1
14.428,93673.4
14.448,93675.19
14.468,93672.38
14.488,93672.93
14.508,93673.79
14.528,93673.19
14.548,93674.19
14.568,93674.7
14.588,93676.04
14.608,93675.89
14.628,93673.1
14.648,93675.83
14.668,93675.87
14.688,93672.69
14.708,93676.18
14.728,93677.03
14.748,93676.24
14.768,93677.7
14.788,93674.85
14.808,93677.58
14.828,93678.92
14.848,93679.7
14.868,93679.41
14.888,93679.32
14.908,93679.29
14.928,93679.52
14.948,93678.89
14.968,93678.23
14.988,93682.03
15.008,93680.82
15.028,93678.3
15.048,93679.19
15.068,93682.5
15.088,93680.11
15.108,93682.78
15.128,93681.06
15.148,93680.9
15.168,93679.06
15.188,93681.72
15.208,93677.96
15.228,93681
15.248,93682.31
15.268,93683.15
15.288,93679.64
15.308,93680.58
15.328,93678.95
15.348,93679.54
15.368,93681.62
15.388,93680.2
15.408,93681.4
15.428,93680.81
15.448,93681.37
15.468,93680.91
15.488,93681.95
15.508,93680.35
15.528,93680.57
15.548,93679.19
15.568,93680.34
15.588,93679.42
15.608,93680.23
15.628,93681.9
15.648,93678.77
15.668,93682.6
15.688,93681.73
15.708,93681.38
15.728,93680.63
15.748,93681.55
15.768,93680.85
15.788,93679.3
15.808,93680.67
15.828,93681.65
15.848,93681.38
15.868,93682.11
15.888,93683.89
15.908,93680.44
15.928,93678.37
15.948,93679.37
15.968,93683
15.988,93680
16.008,93680.63
16.028,93680.33
16.048,93680.51
16.068,93683.38
16.088,93682.02
16.108,93679.72
16.128,93681.58
16.148,93683.03
16.168,93679.82
16.188,93682.2
16.208,93681.66
16.228,93680.21
16.248,93679.76
16.268,93679.71
16.288,93679.99
16.308,93680.04
16.328,93680.99
16.348,93681.23
16.368,93680.98
16.388,93680.57
16.408,93681.54
16.428,93681.98
16.448,93680.47
16.468,93680.21
16.488,93681.53
16.508,93680.67
16.528,93681.69
16.548,93680.98
16.568,93680.74
16.588,93682.12
16.608,93681.98
16.628,93679.73
16.648,93681.62
16.668,93682.19
16.688,93677.96
16.708,93680.5
16.728,93682.84
16.748,93681.84
16.768,93681.38
16.788,93682.27
16.808,93684.01
16.828,93681.71
16.848,93680.96
16.868,93677.68
16.888,93681.14
16.908,93681.63
16.928,93679.64
16.948,93680.63
16.968,93679.5
16.988,93679.39
17.008,93683.02
17.028,93681.2
