sec,mb
14.678,93988
14.728,93988
14.778,93988
14.828,93988
14.878,93986
14.928,93990
14.978,93989
15.028,93988
15.078,93989
15.128,93991
15.178,93988
15.228,93990
15.278,93988
15.328,93990
15.378,93989
15.428,93990
15.478,93991
15.528,93989
15.578,93991
15.628,93991
15.678,93989
15.728,93988
15.778,93989
15.828,93989
15.878,93991
15.928,93990
15.978,93990
16.028,93990
16.078,93990
16.128,93992
16.178,93990
16.228,93990
16.278,93991
16.328,93989
16.378,93989
16.428,93990
16.478,93989
16.528,93991
16.578,93990
16.628,93988
16.678,93989
16.728,93990
16.778,93991
16.828,93991
16.878,93991
16.928,93991
16.978,93990
17.028,93989
17.078,93990
17.128,93989
17.178,93991
17.228,93990
17.278,93990
17.328,93988
17.378,93991
17.428,93989
17.478,93989
17.528,93988
17.578,93990
17.628,93988
17.678,93992
17.728,93990
17.778,93990
17.828,93993
17.878,93990
17.928,93989
17.978,93992
18.028,93988
18.078,93989
18.128,93989
18.178,93990
18.228,93989
18.278,93990
18.328,93990
18.378,93989
18.428,93989
18.478,93991
18.528,93988
18.578,93990
18.628,93990
18.678,93988
18.728,93989
18.778,93988
18.828,93989
18.878,93987
18.928,93988
18.978,93991
19.028,93987
19.078,93989
19.128,93989
19.178,93986
19.228,93990
19.278,93990
19.328,93990
19.378,93989
19.428,93987
19.478,93989
19.528,93989
19.578,93991
19.628,93986
19.678,93988
19.728,93990
19.778,93988
19.828,93990
19.878,93990
19.928,93988
19.978,93988
20.028,93989
20.078,93987
20.128,93989
20.178,93991
20.228,93986
20.278,93990
20.328,93989
20.378,93988
20.428,93988
20.478,93990
20.528,93987
20.578,93988
20.628,93989
20.678,93989
20.728,93989
20.778,93990
20.828,93990
20.878,93991
20.928,93987
20.978,93988
21.028,93989
21.078,93988
21.128,93988
21.178,93989
21.228,93990
21.278,93988
21.328,93988
21.378,93991
21.428,93991
21.478,93990
21.528,93989
21.578,93986
21.628,93988
21.678,93989
21.728,93990
21.778,93988
21.828,93988
21.878,93989
21.928,93990
21.978,93990
22.028,93990
22.078,93990
22.128,93992
22.178,93991
22.228,93988
